@relation ActivityClassification

@attribute acc_z numeric
@attribute acc_y numeric
@attribute acc_x numeric
@attribute class { not_legslide, legslide}

@data
-0.25,-3.81,1.50,not_legslide
-0.81,-4.94,-0.06,not_legslide
-0.12,-4.75,0.62,not_legslide
-0.62,-3.00,0.19,not_legslide
-0.94,-4.56,0.31,not_legslide
-0.56,-5.00,0.88,not_legslide
-0.75,-4.31,0.31,not_legslide
-0.75,-4.00,-0.12,not_legslide
-0.94,-4.94,0.12,not_legslide
-0.81,-5.38,0.44,not_legslide
-0.81,-4.69,0.19,not_legslide
-0.50,-3.50,0.06,not_legslide
-0.88,-3.56,0.12,not_legslide
-1.00,-4.94,0.38,not_legslide
-0.88,-5.19,0.50,not_legslide
-0.88,-3.50,0.00,not_legslide
-0.69,-3.50,0.00,not_legslide
-0.88,-5.50,0.31,not_legslide
-0.81,-5.50,0.31,not_legslide
-0.75,-5.06,0.50,not_legslide
-0.81,-4.00,0.06,not_legslide
-0.38,-3.38,0.06,not_legslide
-1.12,-4.94,0.88,not_legslide
-0.81,-5.06,0.44,not_legslide
-1.00,-4.00,-0.12,not_legslide
-1.06,-3.62,-0.06,not_legslide
-1.06,-3.38,-0.12,not_legslide
-1.06,-5.19,0.62,not_legslide
-0.75,-5.50,0.81,not_legslide
-2.62,-2.00,2.88,not_legslide
-0.81,-1.81,2.56,not_legslide
-0.75,-3.31,2.19,not_legslide
-0.69,-5.12,-0.38,not_legslide
-0.88,-3.88,-1.38,not_legslide
-0.81,-4.88,0.62,not_legslide
-0.12,-4.25,0.38,not_legslide
-0.31,-3.12,-1.31,not_legslide
-0.56,-4.94,-0.94,not_legslide
-0.81,-3.81,0.00,not_legslide
-0.31,-5.25,0.06,not_legslide
-0.56,-3.31,-1.00,not_legslide
-0.81,-5.12,-1.00,not_legslide
-0.81,-3.88,-0.25,not_legslide
-0.44,-5.62,0.00,not_legslide
-0.12,-4.00,-0.94,not_legslide
-0.62,-3.25,-1.38,not_legslide
0.00,-5.44,-0.19,not_legslide
-0.25,-4.75,-0.56,not_legslide
-0.50,-4.94,-0.50,not_legslide
-0.25,-3.00,-0.94,not_legslide
-1.06,-4.75,-1.06,not_legslide
-1.38,-5.06,0.06,not_legslide
-1.56,-5.69,-0.31,not_legslide
-0.75,-5.69,-0.31,not_legslide
-0.75,-2.06,-0.88,not_legslide
-1.00,-4.31,-1.06,not_legslide
-0.69,-5.69,-0.06,not_legslide
-1.06,-3.38,-0.44,not_legslide
-1.19,-5.12,-0.50,not_legslide
-0.81,-5.81,0.06,not_legslide
-0.50,-3.94,-0.50,not_legslide
-0.19,-2.50,-0.50,not_legslide
-1.31,-4.81,-1.12,not_legslide
-0.25,-5.75,0.00,not_legslide
-1.06,-3.94,-0.94,not_legslide
-1.06,-5.75,-0.19,not_legslide
-0.50,-5.44,-0.38,not_legslide
-0.75,-2.38,-1.00,not_legslide
-1.19,-4.06,-1.12,not_legslide
-0.81,-5.81,-0.38,not_legslide
-1.00,-3.19,-0.19,not_legslide
-0.50,-5.38,-0.25,not_legslide
-0.38,-4.00,-1.38,not_legslide
-0.62,-2.94,-1.38,not_legslide
-0.88,-6.31,-0.75,not_legslide
-0.38,-3.94,-0.50,not_legslide
-1.00,-4.12,-0.19,not_legslide
-0.62,-5.81,-0.31,not_legslide
-0.56,-2.19,-0.94,not_legslide
-1.38,-4.56,-1.06,not_legslide
-0.69,-5.12,-0.19,not_legslide
-1.25,-3.19,-0.31,not_legslide
-0.50,-5.75,-0.06,not_legslide
-0.81,-5.06,-1.06,not_legslide
-1.12,-5.06,-1.06,not_legslide
-1.06,-5.25,-0.31,not_legslide
-0.75,-5.25,-0.31,not_legslide
-0.56,-4.88,-1.06,not_legslide
-0.31,-2.69,-0.88,not_legslide
-0.88,-4.81,-1.62,not_legslide
-0.69,-5.12,-0.25,not_legslide
-0.88,-4.19,-0.81,not_legslide
-0.81,-6.19,-0.38,not_legslide
-0.75,-2.12,-0.88,not_legslide
-0.88,-4.94,-1.31,not_legslide
-1.19,-4.00,-0.38,not_legslide
-0.88,-5.56,-0.44,not_legslide
-0.56,-5.00,-1.00,not_legslide
-0.88,-2.19,-1.44,not_legslide
-0.75,-6.38,-0.38,not_legslide
-1.31,-3.50,-0.75,not_legslide
-0.75,-6.38,0.00,not_legslide
-0.25,-3.62,-1.00,not_legslide
-1.00,-3.00,-1.06,not_legslide
-0.88,-6.00,-0.88,not_legslide
-1.06,-3.56,-0.88,not_legslide
-0.81,-4.94,-0.81,not_legslide
-0.88,-5.12,-0.94,not_legslide
-0.62,-2.19,-0.75,not_legslide
-1.06,-4.81,-1.12,not_legslide
-0.81,-5.88,-0.50,not_legslide
-1.19,-3.44,-0.81,not_legslide
-0.75,-5.31,-1.19,not_legslide
-0.62,-2.06,-0.81,not_legslide
-1.00,-5.62,-0.44,not_legslide
-1.44,-4.94,-1.50,not_legslide
-0.81,-3.12,-1.00,not_legslide
-1.00,-3.12,-1.00,not_legslide
-0.94,-5.25,-0.31,not_legslide
-0.50,-5.50,-0.38,not_legslide
-0.56,-3.06,-0.81,not_legslide
-0.19,-3.31,-1.38,not_legslide
-0.88,-2.81,-0.56,not_legslide
-1.31,-4.50,-0.88,not_legslide
-0.38,-6.00,-0.19,not_legslide
-0.38,-3.19,-0.94,not_legslide
-1.00,-3.31,-1.31,not_legslide
-1.00,-6.00,-0.75,not_legslide
-1.00,-3.75,-0.69,not_legslide
-1.06,-4.56,-0.88,not_legslide
-0.25,-5.25,-0.25,not_legslide
-0.25,-2.44,-0.81,not_legslide
-1.06,-4.62,-1.12,not_legslide
-0.69,-5.69,0.00,not_legslide
-1.31,-3.19,-0.81,not_legslide
-0.81,-5.69,-0.06,not_legslide
-0.31,-4.94,-0.94,not_legslide
-1.00,-2.62,-1.00,not_legslide
-1.00,-5.88,-0.88,not_legslide
-0.69,-4.50,-0.50,not_legslide
-1.19,-3.88,-1.12,not_legslide
-0.38,-5.69,-0.06,not_legslide
-0.38,-3.12,-1.25,not_legslide
-1.69,-5.12,0.06,not_legslide
-0.75,-5.12,0.06,not_legslide
-0.81,-4.12,-0.94,not_legslide
-1.12,-4.12,-0.94,not_legslide
-0.38,-4.44,-0.88,not_legslide
-0.06,-5.69,0.50,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,-0.06,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.06,0.19,not_legslide
4.00,-0.06,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.88,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.06,0.12,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.25,not_legslide
3.88,0.06,0.12,not_legslide
4.00,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.06,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.06,0.25,not_legslide
4.00,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.12,not_legslide
3.88,0.00,0.12,not_legslide
3.94,0.00,0.12,not_legslide
3.94,0.00,0.12,not_legslide
4.06,0.00,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.12,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,-0.06,0.19,not_legslide
3.94,-0.06,0.12,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
4.00,0.00,0.12,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.06,0.19,not_legslide
4.00,0.00,0.12,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.06,0.19,not_legslide
3.88,0.00,0.19,not_legslide
4.00,0.06,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
4.00,-0.06,0.19,not_legslide
3.94,0.00,0.25,not_legslide
4.00,0.06,0.19,not_legslide
3.94,0.00,0.12,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.06,0.19,not_legslide
4.00,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.06,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.06,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
4.00,0.00,0.25,not_legslide
3.94,-0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.06,0.25,not_legslide
4.00,0.00,0.25,not_legslide
3.88,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.06,0.25,not_legslide
3.94,0.00,0.25,not_legslide
3.94,0.06,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.06,0.19,not_legslide
3.94,0.06,0.19,not_legslide
4.00,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.81,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,-0.06,0.25,not_legslide
3.94,-0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
2.75,0.00,0.25,not_legslide
3.81,-1.12,-2.75,not_legslide
4.12,-0.06,0.06,legslide
4.88,-0.25,-3.12,legslide
4.50,1.75,-1.88,legslide
4.25,1.62,0.62,legslide
4.88,-1.69,-3.00,legslide
3.69,2.12,2.88,legslide
4.69,-2.94,-1.88,legslide
3.88,1.62,0.81,legslide
3.31,1.31,-2.31,legslide
3.75,1.19,-2.44,legslide
4.25,2.31,-0.62,legslide
3.88,-2.44,-1.38,legslide
3.19,3.62,0.06,legslide
5.00,-4.19,-0.19,legslide
3.81,1.19,-0.56,legslide
4.00,-1.88,-1.38,legslide
4.81,-2.62,-1.75,legslide
3.19,1.75,-1.00,legslide
4.88,-3.75,0.19,legslide
4.06,1.56,-1.19,legslide
3.19,-0.69,-2.00,legslide
4.81,-5.00,-0.25,legslide
4.44,1.50,-0.88,legslide
3.62,-0.38,-1.81,legslide
4.31,-3.25,-0.25,legslide
3.62,3.31,-0.12,legslide
4.31,-3.19,-0.69,legslide
4.12,-0.12,-2.62,legslide
3.75,-3.31,-0.31,legslide
4.31,-3.31,-0.31,legslide
3.38,-1.69,-1.62,legslide
3.69,-1.69,-1.62,legslide
4.12,-3.06,-1.62,legslide
3.19,2.44,-0.88,legslide
3.94,-3.94,-0.62,legslide
4.12,-0.44,-1.94,legslide
3.25,0.81,-1.50,legslide
4.94,-4.56,0.25,legslide
3.81,1.69,-0.38,legslide
4.44,-1.12,-1.06,legslide
4.81,-1.06,-1.56,legslide
3.94,2.62,-0.75,legslide
3.94,-4.62,0.25,legslide
4.12,2.25,-1.81,legslide
3.75,-0.69,-2.88,legslide
4.88,-3.94,0.06,legslide
3.44,2.75,-0.50,legslide
4.06,-3.00,-1.00,legslide
4.94,-2.06,-1.75,legslide
3.25,1.69,-1.00,legslide
4.38,-3.88,0.62,legslide
3.75,1.31,-1.00,legslide
3.38,-1.06,-1.69,legslide
4.00,-2.81,-1.50,legslide
3.19,2.00,-1.12,legslide
4.25,-3.94,0.31,legslide
4.12,2.69,-0.38,legslide
4.12,-2.06,-0.88,legslide
3.19,-1.56,-1.31,legslide
-0.19,-3.81,0.81,legslide
-0.88,-3.94,-0.31,legslide
-0.19,-5.00,-0.62,legslide
0.00,-3.50,-1.06,legslide
-0.50,-4.06,-1.38,legslide
0.06,-5.38,-0.62,legslide
-0.25,-3.69,-0.88,legslide
-0.31,-3.88,-1.50,legslide
-0.38,-4.12,-0.19,legslide
-0.56,-4.19,-0.19,not_legslide
-0.31,-4.19,0.44,not_legslide
-0.81,-4.06,-0.88,not_legslide
-0.88,-5.56,-0.12,not_legslide
-0.38,-4.75,-0.25,not_legslide
-0.94,-3.19,-0.19,not_legslide
-0.38,-4.94,0.25,not_legslide
